iter	MAE	RMSE
0	0.01904963082	0.0272072974
1	0.01904659974	0.02719929542
2	0.01904306686	0.02719032192
3	0.01903874596	0.02718063866
4	0.01903624474	0.02717391386
5	0.01903238356	0.0271649788
6	0.01902873061	0.02715549621
7	0.01902556344	0.02714794699
8	0.01902230298	0.02713680644
9	0.01901753198	0.02712357633
10	0.01901271802	0.02710909567
11	0.01901006695	0.02710012871
12	0.01900767235	0.02709276662
13	0.01900442904	0.02708279187
14	0.01900358097	0.02707949581
15	0.01900108567	0.02707260268
16	0.01900008305	0.02706825872
17	0.01899651203	0.02706166965
18	0.01899322397	0.02705586487
19	0.0189909876	0.0270495871
20	0.01898937218	0.02704497187
21	0.01898652543	0.02703724054
22	0.01898298608	0.02702966127
23	0.01898155134	0.0270268233
24	0.01898061493	0.02702393717
25	0.0189776179	0.02701609473
26	0.01897437194	0.02701037823
27	0.01897133745	0.02700525192
28	0.01896910523	0.0269961207
29	0.01896790938	0.02699227365
30	0.01896585159	0.02698395991
31	0.01896357676	0.02697729157
32	0.01896271063	0.02697472495
33	0.0189615534	0.02697209093
34	0.01895727979	0.02696153413
35	0.01895495519	0.02695585729
36	0.0189528626	0.02694967931
37	0.01895003913	0.0269426817
38	0.01894621981	0.02693208649
39	0.01894459287	0.02692720862
40	0.01894242098	0.02692110761
41	0.01894039437	0.02691717914
42	0.0189395225	0.02691232096
43	0.01893898403	0.02690990047
44	0.01893812941	0.0269078613
45	0.01893462426	0.02689727996
46	0.01893405737	0.02689518175
47	0.01893157429	0.02689126189
48	0.01893040845	0.02688703724
49	0.01892800238	0.02688218718
50	0.01892726554	0.02688084697
51	0.01892655703	0.02687810262
52	0.01892484649	0.02687269497
53	0.01892251295	0.02686768745
54	0.01892083911	0.0268613939
55	0.01891886095	0.02685686604
56	0.01891765222	0.02685298498
57	0.01891663746	0.02684980617
58	0.01891405211	0.02684491727
59	0.01891236115	0.02684071889
60	0.01891149651	0.02683723389
61	0.01890875384	0.02682995569
62	0.01890820048	0.02682735368
63	0.01890622225	0.02682162797
64	0.01890504823	0.02681738576
65	0.01890354244	0.02681330754
66	0.01890209848	0.02680775294
67	0.01890084654	0.02680540729
68	0.01890035131	0.02680311218
69	0.01889862832	0.0267985038
70	0.01889806114	0.0267959695
71	0.01889586573	0.0267879721
72	0.01889494767	0.02678466732
73	0.01889331442	0.02677890263
74	0.01889054991	0.02677286839
75	0.01888897678	0.02677065572
76	0.01888833401	0.02676843293
77	0.0188873675	0.02676401145
78	0.01888599744	0.02675876355
79	0.01888468523	0.02675491199
80	0.01888338745	0.02675137956
81	0.01888125054	0.02674658291
82	0.01887991294	0.0267422618
83	0.01887864813	0.02673834168
84	0.01887678603	0.02673465835
85	0.01887571649	0.02673022891
86	0.01887500782	0.02672725196
87	0.01887394835	0.02672520042
88	0.01887221823	0.02672125623
89	0.01887099151	0.02671858273
90	0.01886967441	0.02671625823
91	0.01886861113	0.02671350295
92	0.0188667871	0.02670949098
93	0.01886530425	0.02670567886
94	0.01886373502	0.02670237778
95	0.01886119647	0.0266895586
96	0.01885881488	0.02668397319
97	0.01885766661	0.02668180349
98	0.01885698292	0.02667946283
99	0.01885499827	0.02667104044
100	0.01885223039	0.02666339944
101	0.01885131517	0.02666031501
102	0.01884848648	0.02665435153
103	0.01884683386	0.02664953915
104	0.01884641159	0.02664860329
105	0.01884452352	0.02664401069
106	0.01884362455	0.0266421417
107	0.01884237925	0.02663908773
108	0.01884090432	0.02663492258
109	0.01883989594	0.02663241457
110	0.01883758438	0.02662614673
111	0.01883558571	0.02662206059
112	0.01883503812	0.02661842909
113	0.01883190407	0.02660891233
114	0.01883101581	0.02660614239
115	0.01882812737	0.02659844792
116	0.01882664827	0.02659512288
117	0.01882515967	0.02659198492
118	0.01882418403	0.02659035496
119	0.01882282556	0.02658692238
120	0.0188210182	0.02658186219
121	0.01881975203	0.02657959207
122	0.01881888116	0.02657815072
123	0.01881812466	0.02657590393
124	0.01881724661	0.02657480182
125	0.01881559581	0.0265709056
126	0.01881432162	0.02656711089
127	0.01881357629	0.02656599305
128	0.01881237273	0.02656195311
129	0.01881077849	0.02655700626
130	0.0188093682	0.0265547002
131	0.01880827637	0.02655258218
132	0.01880642862	0.02654886374
133	0.01880423735	0.02654385585
134	0.01880346723	0.02654187357
135	0.01880304213	0.02654050865
136	0.018802418	0.02653881188
137	0.01880111385	0.02653525289
138	0.01879993238	0.02653201989
139	0.01879783337	0.02652753425
140	0.01879745745	0.0265259404
141	0.01879694379	0.02652464761
142	0.01879614019	0.02652142987
143	0.0187952526	0.02651829899
144	0.01879433714	0.02651527917
145	0.01879258501	0.02651068511
146	0.01879201913	0.02650737986
147	0.01879019105	0.02650220068
148	0.01878878751	0.02649584093
149	0.01878820789	0.026494116
150	0.01878748986	0.02649191568
151	0.01878606272	0.02648805009
152	0.01878488968	0.02648580842
153	0.01878315413	0.02648212505
