datetime,exchange_balance,exchange_inflow,exchange_outflow,date,exchange_netflow
2025-06-01T00:00:00Z,8156.577797862826,175335.14097332474,167178.56317546192,2025-06-01,8156.5777978628175
2025-06-02T00:00:00Z,-142353.27567545857,304191.71811548196,446544.99379094056,2025-06-02,-142353.2756754586
2025-06-03T00:00:00Z,-80198.61051417649,509786.750914293,589985.3614284695,2025-06-03,-80198.61051417654
2025-06-04T00:00:00Z,-64324.44231525328,324387.200420616,388711.6427358693,2025-06-04,-64324.442315253254
2025-06-05T00:00:00Z,54148.98734074936,564687.031426396,510538.04408564663,2025-06-05,54148.98734074936
2025-06-06T00:00:00Z,45215.29206384098,376845.4759618822,331630.18389804126,2025-06-06,45215.292063840956
2025-06-07T00:00:00Z,-34400.1622390284,130876.19034685713,165276.35258588553,2025-06-07,-34400.1622390284
2025-06-08T00:00:00Z,5126.414547963276,142965.34641280057,137838.9318648373,2025-06-08,5126.414547963272
2025-06-09T00:00:00Z,173199.56293251168,464608.14774651645,291408.5848140048,2025-06-09,173199.56293251168
2025-06-10T00:00:00Z,-10423.113619554439,608576.4722678072,618999.5858873617,2025-06-10,-10423.113619554439
2025-06-11T00:00:00Z,-153699.69358025072,404395.9802230231,558095.6738032738,2025-06-11,-153699.69358025072
2025-06-12T00:00:00Z,-20446.235626901882,441726.0369877491,462172.272614651,2025-06-12,-20446.235626901907
2025-06-13T00:00:00Z,-87447.32266044363,510897.13705061184,598344.4597110555,2025-06-13,-87447.32266044366
2025-06-14T00:00:00Z,63278.19927038205,196105.0124330052,132826.81316262315,2025-06-14,63278.19927038206
2025-06-15T00:00:00Z,1816.244456384291,147187.35391056672,145371.1094541824,2025-06-15,1816.2444563843019
2025-06-16T00:00:00Z,3124.74750826715,319876.805111392,316752.0576031248,2025-06-16,3124.7475082671735
2025-06-17T00:00:00Z,118781.18214869872,457305.87922382815,338524.6970751294,2025-06-17,118781.18214869872
2025-06-18T00:00:00Z,-25781.954046094066,297063.7392442612,322845.69329035527,2025-06-18,-25781.95404609409
2025-06-19T00:00:00Z,236892.59162842925,456199.10179834894,219306.5101699197,2025-06-19,236892.59162842925
2025-06-20T00:00:00Z,-333262.83084910404,350361.06354590016,683623.8943950041,2025-06-20,-333262.830849104
2025-06-21T00:00:00Z,63407.28476895026,236639.32114841978,173232.03637946953,2025-06-21,63407.28476895025
2025-06-22T00:00:00Z,5572.197474210998,313358.05673553795,307785.85926132696,2025-06-22,5572.197474210989
2025-06-23T00:00:00Z,-120364.85208183964,282889.495332478,403254.34741431766,2025-06-23,-120364.85208183964
2025-06-24T00:00:00Z,66600.6831400788,431520.8241427815,364920.1410027027,2025-06-24,66600.68314007879
2025-06-25T00:00:00Z,16054.158249165313,345144.31834266795,329090.1600935026,2025-06-25,16054.158249165339
2025-06-26T00:00:00Z,73444.78587379349,383244.41982730763,309799.63395351416,2025-06-26,73444.78587379347
2025-06-27T00:00:00Z,95947.09467655519,330766.2053178189,234819.11064126375,2025-06-27,95947.09467655516
2025-06-28T00:00:00Z,73119.59243243054,240996.84775460442,167877.25532217388,2025-06-28,73119.59243243054
2025-06-29T00:00:00Z,-2817.687462796212,159982.63670446884,162800.32416726503,2025-06-29,-2817.687462796195
2025-06-30T00:00:00Z,45803.665639852836,342516.65134045307,296712.98570060026,2025-06-30,45803.665639852814
2025-07-01T00:00:00Z,40364.244802362955,307394.38978439895,267030.14498203597,2025-07-01,40364.244802362984
2025-07-02T00:00:00Z,41012.173852609776,355500.72480471147,314488.5509521017,2025-07-02,41012.17385260976
2025-07-03T00:00:00Z,-44562.5877629139,285141.9437790591,329704.531541973,2025-07-03,-44562.5877629139
2025-07-04T00:00:00Z,-102527.61620478188,206189.83264396273,308717.44884874456,2025-07-04,-102527.61620478184
2025-07-05T00:00:00Z,-7226.023016487946,105421.95593163611,112647.97894812406,2025-07-05,-7226.023016487947
