datetime,exchange_balance,exchange_inflow,exchange_outflow,date,exchange_netflow
2025-06-01T00:00:00Z,-2244.96718418,0.0,2244.96718418,2025-06-01,-2244.96718418
2025-06-02T00:00:00Z,-14674.587048290026,0.0,14674.587048290026,2025-06-02,-14674.587048290026
2025-06-03T00:00:00Z,-142211.15411462003,0.0,142211.15411462003,2025-06-03,-142211.15411462003
2025-06-04T00:00:00Z,-10203.70022063,0.0,10203.70022063,2025-06-04,-10203.70022063
2025-06-05T00:00:00Z,-11766.248115410002,0.0,11766.248115410002,2025-06-05,-11766.248115410002
2025-06-06T00:00:00Z,-1648.80479705,0.0,1648.80479705,2025-06-06,-1648.80479705
2025-06-07T00:00:00Z,-1704.18345851,0.0,1704.18345851,2025-06-07,-1704.18345851
2025-06-08T00:00:00Z,-3834.729807360001,0.0,3834.729807360001,2025-06-08,-3834.729807360001
2025-06-09T00:00:00Z,-3330.04107118,0.0,3330.04107118,2025-06-09,-3330.04107118
2025-06-10T00:00:00Z,18383.616372070006,41108.89547712001,22725.27910505,2025-06-10,18383.616372070006
2025-06-11T00:00:00Z,2888.743669450001,25020.134443560004,22131.39077411,2025-06-11,2888.743669450003
2025-06-12T00:00:00Z,4726.954000569995,26035.812725670003,21308.85872510001,2025-06-12,4726.954000569993
2025-06-13T00:00:00Z,10532.044658850022,43851.99511769002,33319.95045884,2025-06-13,10532.04465885002
2025-06-14T00:00:00Z,4989.393008579998,20087.561640410007,15098.16863183001,2025-06-14,4989.393008579997
2025-06-15T00:00:00Z,253.37806639,10887.081361880002,10633.70329549,2025-06-15,253.37806639000155
2025-06-16T00:00:00Z,-20978.85809753001,22590.555474039997,43569.41357157001,2025-06-16,-20978.858097530014
2025-06-17T00:00:00Z,8505.580326220012,39404.992337120006,30899.4120109,2025-06-17,8505.580326220006
2025-06-18T00:00:00Z,353.073988669996,24922.71158255,24569.637593880005,2025-06-18,353.07398866999574
2025-06-19T00:00:00Z,1129.666371900001,17617.44685352001,16487.780481620008,2025-06-19,1129.6663719000026
2025-06-20T00:00:00Z,904.775052939998,25359.38471316999,24454.609660229995,2025-06-20,904.7750529399964
2025-06-21T00:00:00Z,1764.789665480004,13811.49783013,12046.708164649996,2025-06-21,1764.7896654800043
2025-06-22T00:00:00Z,1011.86201049,29326.682083619995,28314.820073129995,2025-06-22,1011.8620104900001
2025-06-23T00:00:00Z,-2849.775734430006,27238.790712829992,30088.566447259996,2025-06-23,-2849.7757344300044
2025-06-24T00:00:00Z,-931.413684029994,29650.884032339993,30582.297716369987,2025-06-24,-931.4136840299943
2025-06-25T00:00:00Z,851.440574299998,30028.67219135,29177.23161705,2025-06-25,851.4405742999988
2025-06-26T00:00:00Z,5437.071418199975,32995.00064400998,27557.92922581001,2025-06-26,5437.071418199972
2025-06-27T00:00:00Z,-2745.816263520001,33782.73496427999,36528.55122779999,2025-06-27,-2745.8162635199988
2025-06-28T00:00:00Z,409.908817610001,11455.32419762,11045.41538001,2025-06-28,409.9088176100013
2025-06-29T00:00:00Z,242.947891739999,10031.715677019998,9788.767785279999,2025-06-29,242.94789173999925
2025-06-30T00:00:00Z,-3524.033001340001,24115.468566829997,27639.50156817,2025-06-30,-3524.0330013400016
2025-07-01T00:00:00Z,1444.803958310008,20947.531592870007,19502.72763456,2025-07-01,1444.8039583100071
2025-07-02T00:00:00Z,-2792.993108509972,28451.648158490025,31244.641267,2025-07-02,-2792.9931085099743
2025-07-03T00:00:00Z,6815.194654000002,28202.59734495,21387.402690950003,2025-07-03,6815.194653999999
2025-07-04T00:00:00Z,2197.145607730001,22000.11056426999,19802.96495653999,2025-07-04,2197.1456077300027
2025-07-05T00:00:00Z,-408.738999979996,6729.211661380004,7137.950661359999,2025-07-05,-408.73899997999433
2025-07-06T00:00:00Z,-1299.178540130012,10127.13720332998,11426.31574345999,2025-07-06,-1299.1785401300112
2025-07-07T00:00:00Z,30.630895990004,19581.58931509001,19550.958419100003,2025-07-07,30.63089599000523
2025-07-08T00:00:00Z,-2355.620095450002,21457.78794868,23813.408044130007,2025-07-08,-2355.6200954500055
2025-07-09T00:00:00Z,-1379.976436189995,22428.718201330004,23808.69463752,2025-07-09,-1379.9764361899943
2025-07-10T00:00:00Z,-2354.027062640004,38176.04846591,40530.075528550005,2025-07-10,-2354.027062640009
2025-07-11T00:00:00Z,2529.482913910002,52834.97704824002,50305.494134330016,2025-07-11,2529.482913910004
2025-07-12T00:00:00Z,-6004.972816419999,26545.327085330006,32550.299901750004,2025-07-12,-6004.972816419999
2025-07-13T00:00:00Z,1868.923085789997,14258.889770320002,12389.966684530003,2025-07-13,1868.9230857899984
2025-07-14T00:00:00Z,4580.992862950017,50253.19503162001,45672.20216866999,2025-07-14,4580.992862950021
2025-07-15T00:00:00Z,15341.657672569976,100513.15887702996,85171.50120445997,2025-07-15,15341.657672569985
2025-07-16T00:00:00Z,1670.580085379984,39942.6918986,38272.11181322001,2025-07-16,1670.5800853799883
2025-07-17T00:00:00Z,38805.72675434001,84272.5596123,45466.83285796,2025-07-17,38805.72675434
2025-07-18T00:00:00Z,3041.383722669986,41790.99095225,38749.60722958002,2025-07-18,3041.3837226699834
2025-07-19T00:00:00Z,-3832.856647970006,13518.803177359992,17351.65982533,2025-07-19,-3832.8566479700075
2025-07-20T00:00:00Z,-1677.943304730001,14147.798340179997,15825.741644909998,2025-07-20,-1677.9433047300008
2025-07-21T00:00:00Z,-7609.158545009977,31015.511738410027,38624.670283420004,2025-07-21,-7609.158545009977
2025-07-22T00:00:00Z,-1381.534487630008,26596.771792269992,27978.3062799,2025-07-22,-1381.5344876300078
2025-07-23T00:00:00Z,-1504.335605120007,25197.795390440002,26702.130995560008,2025-07-23,-1504.3356051200062
2025-07-24T00:00:00Z,2744.880353529988,32507.412670569996,29762.532317040008,2025-07-24,2744.8803535299885
2025-07-25T00:00:00Z,-27244.960073569993,71501.3132234,98746.27329696999,2025-07-25,-27244.960073569993
2025-07-26T00:00:00Z,-3194.082629280004,21011.838330020004,24205.92095930001,2025-07-26,-3194.0826292800048
2025-07-27T00:00:00Z,302.434224600002,14378.49378722001,14076.059562620008,2025-07-27,302.43422460000147
2025-07-28T00:00:00Z,-2461.745329880004,26341.581285800003,28803.326615680005,2025-07-28,-2461.745329880003
2025-07-29T00:00:00Z,-158.547659909998,24661.246162279996,24819.793822189993,2025-07-29,-158.54765990999658
2025-07-30T00:00:00Z,347.150317170005,24978.584241779998,24631.433924609995,2025-07-30,347.1503171700024
2025-07-31T00:00:00Z,-1274.171221500004,25596.576272860006,26870.74749436001,2025-07-31,-1274.1712215000043
2025-08-01T00:00:00Z,2749.209600670003,37357.60694972999,34608.39734905999,2025-08-01,2749.2096006700012
2025-08-02T00:00:00Z,-502.063596600007,13347.039473540004,13849.10307014001,2025-08-02,-502.06359660000635
2025-08-03T00:00:00Z,-547.718176689995,12650.00455700001,13197.722733690005,2025-08-03,-547.7181766899957
2025-08-04T00:00:00Z,2366.198188950005,30577.464055059994,28211.265866109992,2025-08-04,2366.198188950002
2025-08-05T00:00:00Z,1059.91369487001,25077.239767110004,24017.326072239997,2025-08-05,1059.913694870007
2025-08-06T00:00:00Z,-3949.507173399992,20363.800001150015,24313.307174550006,2025-08-06,-3949.5071733999903
2025-08-07T00:00:00Z,-1092.794643640002,20488.53149979998,21581.326143439983,2025-08-07,-1092.7946436400016
2025-08-08T00:00:00Z,-2243.387052580005,25421.861473459998,27665.248526040003,2025-08-08,-2243.387052580005
2025-08-09T00:00:00Z,648.04736512,15678.988069620002,15030.940704500003,2025-08-09,648.0473651199991
2025-08-10T00:00:00Z,1074.114304399998,15925.879738360009,14851.76543396001,2025-08-10,1074.1143043999982
2025-08-11T00:00:00Z,5256.883279780004,39769.36772162999,34512.48444184999,2025-08-11,5256.883279779999
2025-08-12T00:00:00Z,6288.168470929976,35915.063825039986,29626.895354110005,2025-08-12,6288.168470929981
2025-08-13T00:00:00Z,-270.277175290001,32565.49031458,32835.76748987,2025-08-13,-270.2771752899971
2025-08-14T00:00:00Z,3332.616412120003,38152.35574948001,34819.739337360006,2025-08-14,3332.6164121200054
2025-08-15T00:00:00Z,-192.119495529995,27431.216217699995,27623.33571322999,2025-08-15,-192.1194955299943
2025-08-16T00:00:00Z,-1146.132430849992,13388.540303420003,14534.672734269994,2025-08-16,-1146.1324308499916
2025-08-17T00:00:00Z,-387.460032690006,18280.263459579997,18667.723492270004,2025-08-17,-387.4600326900072
2025-08-18T00:00:00Z,-3027.154973929999,36989.47318028999,40016.628154219994,2025-08-18,-3027.1549739300026
2025-08-19T00:00:00Z,5230.084984730017,37646.81592814002,32416.73094341001,2025-08-19,5230.084984730012
2025-08-20T00:00:00Z,1770.997611250017,27316.575300110024,25545.57768886001,2025-08-20,1770.9976112500153
2025-08-21T00:00:00Z,4164.684813550033,31637.211007350037,27472.526193800008,2025-08-21,4164.6848135500295
2025-08-22T00:00:00Z,-2496.839401239968,36869.56878122003,39366.40818246,2025-08-22,-2496.839401239973
2025-08-23T00:00:00Z,1928.189962710012,20246.32390225002,18318.133939540006,2025-08-23,1928.1899627100138
2025-08-24T00:00:00Z,5749.807413329998,37548.3189278,31798.511514470003,2025-08-24,5749.807413329996
2025-08-25T00:00:00Z,-586.70966972,34439.45350447,35026.163174190006,2025-08-25,-586.7096697200031
2025-08-26T00:00:00Z,2413.634807550009,31962.894577450006,29549.259769899996,2025-08-26,2413.63480755001
2025-08-27T00:00:00Z,-2395.54521794,21369.47196768,23765.017185620003,2025-08-27,-2395.5452179400017
2025-08-28T00:00:00Z,-2114.927652489988,21759.051544470018,23873.979196960005,2025-08-28,-2114.927652489987
2025-08-29T00:00:00Z,-3835.950797499995,34599.647783500004,38435.598581,2025-08-29,-3835.950797499994
2025-08-30T00:00:00Z,1159.326367230004,23767.782752650004,22608.456385420002,2025-08-30,1159.3263672300018
2025-08-31T00:00:00Z,3125.095062669998,20420.22754546,17295.13248279,2025-08-31,3125.0950626699996
2025-09-01T00:00:00Z,1549.259711310026,25615.78381221003,24066.524100900002,2025-09-01,1549.2597113100273
2025-09-02T00:00:00Z,-5599.721040579995,26828.72419292001,32428.445233500006,2025-09-02,-5599.721040579996
2025-09-03T00:00:00Z,-2558.290023700009,25228.162161139993,27786.452184840004,2025-09-03,-2558.2900237000104
2025-09-04T00:00:00Z,3187.095502800002,27969.613095720004,24782.51759292,2025-09-04,3187.0955028000026
2025-09-05T00:00:00Z,-830.447217789985,29477.21616795999,30307.663385749973,2025-09-05,-830.4472177899843
2025-09-06T00:00:00Z,530.369895830004,10005.164374350003,9474.79447852,2025-09-06,530.3698958300029
2025-09-07T00:00:00Z,418.33299842,9605.281425919993,9186.948427499994,2025-09-07,418.33299841999906
2025-09-08T00:00:00Z,-700.367790769999,21453.69283915,22154.06062992,2025-09-08,-700.3677907700003
2025-09-09T00:00:00Z,-1824.792663460001,29875.709586360008,31700.50224982001,2025-09-09,-1824.7926634600008
2025-09-10T00:00:00Z,-2247.985009040016,34855.54108538999,37103.52609443,2025-09-10,-2247.985009040014
2025-09-11T00:00:00Z,-2241.632452089995,23388.92592703001,25630.558379120004,2025-09-11,-2241.6324520899943
2025-09-12T00:00:00Z,-1185.054887130019,28197.24005016999,29382.29493730001,2025-09-12,-1185.0548871300198
2025-09-13T00:00:00Z,-2135.348204559999,11333.872858510002,13469.221063070001,2025-09-13,-2135.3482045599994
2025-09-14T00:00:00Z,-1854.744936480003,7242.134795409997,9096.87973189,2025-09-14,-1854.7449364800023
2025-09-15T00:00:00Z,-3111.957884570002,21220.900510910007,24332.85839548001,2025-09-15,-3111.9578845700016
2025-09-16T00:00:00Z,493.123460260001,24500.35968620001,24007.236225940007,2025-09-16,493.1234602600016
2025-09-17T00:00:00Z,-2973.024205399986,21410.19049258001,24383.214697979998,2025-09-17,-2973.0242053999864
2025-09-18T00:00:00Z,945.969345659999,28617.667444680006,27671.698099020006,2025-09-18,945.9693456599998
