IC,t_stat,N,label,signal,horizon,IC_mean_daily,t_stat_naive,t_stat_clustered,N_days
-0.0205,,31356,,pos_momentum_5d,14,-0.0166,-3.63,-2.69,1221.0
0.042,,5091,,pos_momentum_5d_IS,1,0.0128,3.0,0.77,223.0
0.054,,5091,,pos_momentum_5d_IS,3,0.0057,3.86,0.36,223.0
0.0329,,5091,,pos_momentum_5d_IS,7,0.0063,2.35,0.4,223.0
0.0311,,5091,,pos_momentum_5d_IS,14,-0.0062,2.22,-0.43,223.0
-0.0102,,26616,,pos_momentum_5d_OOS,1,-0.0099,-1.67,-1.53,1011.0
-0.0106,,26562,,pos_momentum_5d_OOS,3,-0.0164,-1.73,-2.42,1009.0
-0.0382,,26454,,pos_momentum_5d_OOS,7,-0.0163,-6.22,-2.36,1005.0
-0.0263,,26265,,pos_momentum_5d_OOS,14,-0.0189,-4.27,-2.78,998.0
-0.0165,,31392,,pos_momentum_10d,1,-0.0112,-2.92,-1.81,1219.0
-0.0193,,31338,,pos_momentum_10d,3,-0.0178,-3.42,-2.85,1217.0
-0.0356,,31230,,pos_momentum_10d,7,-0.0252,-6.29,-3.99,1213.0
-0.021,,31041,,pos_momentum_10d,14,-0.0222,-3.7,-3.67,1206.0
0.0194,,4796,,pos_momentum_10d_IS,1,-0.001,1.34,-0.06,208.0
0.0379,,4796,,pos_momentum_10d_IS,3,-0.0041,2.62,-0.27,208.0
0.0302,,4796,,pos_momentum_10d_IS,7,-0.0255,2.09,-1.75,208.0
-0.0297,,4796,,pos_momentum_10d_IS,14,-0.0378,-2.06,-2.91,208.0
-0.0201,,26596,,pos_momentum_10d_OOS,1,-0.0132,-3.27,-1.99,1011.0
-0.0251,,26542,,pos_momentum_10d_OOS,3,-0.0206,-4.1,-3.02,1009.0
-0.0431,,26434,,pos_momentum_10d_OOS,7,-0.0252,-7.01,-3.59,1005.0
-0.0212,,26245,,pos_momentum_10d_OOS,14,-0.0189,-3.44,-2.79,998.0
-0.0123,,30762,,pos_momentum_20d,1,-0.0103,-2.16,-1.6,1189.0
-0.02,,30708,,pos_momentum_20d,3,-0.018,-3.51,-2.85,1187.0
-0.0221,,30600,,pos_momentum_20d,7,-0.0223,-3.86,-3.48,1183.0
0.0108,,30411,,pos_momentum_20d,14,-0.0269,1.88,-4.31,1176.0
-0.0041,,4206,,pos_momentum_20d_IS,1,-0.0098,-0.27,-0.53,178.0
-0.0135,,4206,,pos_momentum_20d_IS,3,0.003,-0.88,0.18,178.0
-0.0531,,4206,,pos_momentum_20d_IS,7,-0.0482,-3.45,-3.28,178.0
-0.0769,,4206,,pos_momentum_20d_IS,14,-0.0745,-5.0,-4.93,178.0
-0.0135,,26556,,pos_momentum_20d_OOS,1,-0.0104,-2.19,-1.51,1011.0
-0.0212,,26502,,pos_momentum_20d_OOS,3,-0.0217,-3.44,-3.17,1009.0
-0.0202,,26394,,pos_momentum_20d_OOS,7,-0.0177,-3.29,-2.5,1005.0
0.0181,,26205,,pos_momentum_20d_OOS,14,-0.0184,2.92,-2.7,998.0
-0.0142,,30827,,taker_ls_divergence,1,0.0094,-2.49,1.52,1192.0
-0.0255,,30773,,taker_ls_divergence,3,0.0113,-4.47,1.78,1190.0
-0.0184,,30665,,taker_ls_divergence,7,0.0158,-3.21,2.44,1186.0
-0.037,,30476,,taker_ls_divergence,14,0.0199,-6.46,3.23,1179.0
-0.0555,,4265,,taker_ls_divergence_IS,1,0.0063,-3.63,0.36,181.0
-0.0341,,4265,,taker_ls_divergence_IS,3,0.0145,-2.23,0.81,181.0
-0.0177,,4265,,taker_ls_divergence_IS,7,0.0608,-1.15,3.53,181.0
-0.0322,,4265,,taker_ls_divergence_IS,14,0.0904,-2.1,5.67,181.0
-0.007,,26562,,taker_ls_divergence_OOS,1,0.01,-1.13,1.51,1011.0
-0.0232,,26508,,taker_ls_divergence_OOS,3,0.0107,-3.78,1.58,1009.0
