indicator,pearson_r,pearson_p,transfer_entropy,mutual_info,ccm_convergence,ccm_final_corr,composite_score,direction
volume_sma_20,-0.40327100127991744,3.2052914304997343e-09,0.36758232878597563,0.1300429017585909,0.03333299408077669,0,0.6958856035213454,-1.0
sma_200,-0.2638141146304485,0.00016026523636408107,0.3419171909741972,0.1121006830035808,0.03783010121363471,0,0.6914462586090149,-1.0
ema_200,-0.3037280974418899,1.2301549509637117e-05,0.3419171909741972,0.11627178388126731,0.03584976934214085,0,0.6887388072201476,-1.0
sma_100,-0.31411147539901724,5.911327595123267e-06,0.3419171909741972,0.12496412508716462,0.03228203423236516,0,0.6853332932884165,-1.0
sma_50,-0.36660728784950847,9.336957482051353e-08,0.347652800758902,0.13470840058387387,0.0277991825327899,0,0.679582230861002,-1.0
ema_100,-0.3333060599127794,1.4160383571598832e-06,0.3419171909741972,0.11085361239087035,0.028547681185879657,0,0.6527577402321066,-1.0
skewness_30,0.3460557698189163,5.187602584012792e-07,0.3198976695058354,0.07520705668420652,0.03217780864016757,0,0.6227200554159285,1.0
ichimoku_span_b,-0.33948543586001184,8.752533284405927e-07,0.3490936444614824,0.13678005087913478,0.006036760015621738,0,0.5951221036614054,-1.0
ichimoku_conv,-0.3741070509097904,4.8433894825525e-08,0.23083045182276196,0.15404368401182317,-0.02050906399809588,0,0.592554605014779,-1.0
atr_pct_30,-0.21956570184556884,0.0017848675995053669,0.3402314373314501,0.10822946585727929,0.012111185129249021,0,0.5837315728385952,-1.0
skewness_10,0.16756214980097187,0.01771001323626462,0.29117863236113894,0.07117535786698176,0.02361484359216633,0,0.5834285717023926,1.0
tsi,-0.15155619459078296,0.032170628430875994,0.28590386333331214,0.1455452096080341,-0.04044790674596825,0,0.5819315120100427,-1.0
kurtosis_10,-0.2250897802087708,0.0013528742995574533,0.313664241325095,0.08409239171162895,0.016619468432078306,0,0.5715933633678495,-1.0
bb_upper_20,-0.35760644177098766,2.008428810377928e-07,0.2680171424702662,0.09924018431346693,0.011106170026447504,0,0.5684749104976238,-1.0
ema_50,-0.356187531460336,2.261352887206506e-07,0.33422968748136117,0.12241528702733337,0.0034515872331973216,0,0.566825457716956,-1.0
garman_klass_vol,-0.30873419698702237,8.669880895512693e-06,0.351547764078965,0.12573853888411493,0.0018002940161686268,0,0.5643743496698183,-1.0
atr_pct_20,-0.20583197405564368,0.003455277829503207,0.3208049891790606,0.10946847113778838,0.0068523585372005525,0,0.5642450230710377,-1.0
skewness_20,0.26039758537220264,0.00019613313499579788,0.31007916531035595,0.07961849122551881,0.015397900321569746,0,0.5611147153181775,1.0
ichimoku_base,-0.37769799791721653,3.516276487019227e-08,0.34948821804726266,0.12331106592268916,-0.013802162133154447,0,0.5541388324033615,-1.0
autocorr_5,0.15833960153714735,0.025131828777089953,0.2811553150775485,0.039323075289039305,0.023623612681220773,0,0.5436482948361823,1.0
ichimoku_span_a,-0.382997684174371,2.176447896336957e-08,0.34729515431282065,0.11471252523331062,-0.016956615999371035,0,0.5433906565416383,-1.0
macd_12_26,-0.06984092547921397,0.3257504604254291,0.2666631327825027,0.15068023858735766,-0.02447682980565856,0,0.5431116864530181,-1.0
macd_hist_8_21,0.06087956789521315,0.3917958093071756,0.4374589595184603,0.11914184144689016,0.013137986463489274,0,0.5427985995053894,1.0
hurst_50,-0.14438913712961443,0.04136293815527478,0.39384635033425597,0.062356811306277654,0.015096241741913237,0,0.5383309811005,-1.0
parkinson_vol,-0.306297302576819,1.028787979607495e-05,0.2779397018464942,0.10478730546783925,-0.012877502560583062,0,0.5309841318347991,-1.0
bb_lower_20,-0.2309508537105687,0.0010009424080744864,0.3152754708610171,0.10287051109544643,-0.03866058084065148,0,0.5285881388693081,-1.0
macd_hist_12_26,0.06420592861440222,0.36639328050723013,0.3523245706010653,0.1365367055931332,0.0023650653934759276,0,0.5264400364869235,1.0
realized_vol_20,-0.2648735059848066,0.0001504530298216636,0.3463226429213327,0.10080207138896781,-0.04011510653085389,0,0.5260025892362098,-1.0
atr_pct_14,-0.18225116639654787,0.009796396790857977,0.29030826491761663,0.08718998975983683,0.004167143208488976,0,0.525656060033752,-1.0
volume_sma_10,-0.23873469334068126,0.0006630548927687114,0.3675443713606396,0.06933544578035661,0.00886260449265145,0,0.5221197251960515,-1.0
atr_30,-0.33053410531484256,1.7512046756087393e-06,0.31083707640739994,0.09278848338836798,0.0011620901504416793,0,0.5206339648372268,-1.0
macd_signal_8_21,-0.075979410932548,0.2849243504770361,0.29038669206412887,0.12520925058447788,-0.030280626918945463,0,0.5204806796294194,-1.0
bb_width_20,-0.20488660196510433,0.0036106990850608275,0.3392900823662498,0.0949687690877224,-0.024248602362814727,0,0.518710961359653,-1.0
