signal,return_horizon,IC_full,pval_full,t_stat,n_obs,IC_IS,IC_OOS,sign_flip,sample,abs_IC
post_count,fwd_ret_1h,-0.00518158812455817,0.32638140309168867,-0.9814420779546189,35877,-0.006863958868520115,-0.003962596709120741,False,Hourly,0.00518158812455817
post_count,fwd_ret_4h,-0.001336361466652782,0.80018789368931,-0.25310581774968177,35874,-0.0048716151914920324,0.0008877366765820201,True,Hourly,0.001336361466652782
post_count,fwd_ret_24h,0.006918551190255305,0.1901930543293077,1.310033033286137,35854,0.00989024686422403,0.0033694432995464243,False,Hourly,0.006918551190255305
post_count,fwd_ret_72h,0.014465441245319037,0.006195200440189302,2.73742924370994,35806,0.006910716806068875,0.022002455468817964,False,Hourly,0.014465441245319037
post_count,fwd_ret_168h,0.022301585338940402,2.500802802291954e-05,4.21528096146127,35710,0.03158765901013956,0.014143888799096643,False,Hourly,0.022301585338940402
post_count_6h,fwd_ret_1h,0.0024489460269190542,0.642782027642807,0.46381651065639296,35872,0.0026222306418671993,0.0015392382262574007,False,Hourly,0.0024489460269190542
post_count_6h,fwd_ret_4h,0.014359918722670765,0.00653438024218217,2.719845846836947,35869,0.011235349837569469,0.015593430996973334,False,Hourly,0.014359918722670765
post_count_6h,fwd_ret_24h,0.012581943881232975,0.017206960995611878,2.3823662610394214,35849,0.022403947609178628,0.0005991536414629177,False,Hourly,0.012581943881232975
post_count_6h,fwd_ret_72h,0.02420852958783903,4.626602774798255e-06,4.581747548952965,35801,0.02244499989878036,0.02563347112991737,False,Hourly,0.02420852958783903
post_count_6h,fwd_ret_168h,0.03845231281529225,3.640589988951849e-13,7.271033220770035,35705,0.06573566090911447,0.00917329693430192,False,Hourly,0.03845231281529225
post_count_24h,fwd_ret_1h,0.00665867149629108,0.2073810508724158,1.2608223872190871,35854,0.012496356475471739,2.7400948382832685e-06,False,Hourly,0.00665867149629108
post_count_24h,fwd_ret_4h,0.004963061473517105,0.34737302359941724,0.9397093025698521,35851,0.008231564479261396,0.0011466697193340408,False,Hourly,0.004963061473517105
post_count_24h,fwd_ret_24h,0.015552635186766152,0.0032395204725123206,2.9442444117043203,35831,0.028697755343436125,5.9632946638073596e-06,False,Hourly,0.015552635186766152
post_count_24h,fwd_ret_72h,0.03481500862085975,4.47259785618807e-11,6.589555263403931,35783,0.04049363630454035,0.029223855779450473,False,Hourly,0.03481500862085975
post_count_24h,fwd_ret_168h,0.06747544004849693,2.7110247397421218e-37,12.775546612537154,35687,0.11195862284915441,0.015658989651889263,False,Hourly,0.06747544004849693
crypto_score,fwd_ret_1h,0.0033433047762618526,0.5265752426244097,0.6332487640847289,35877,-0.012070759683734502,0.007068771285009825,True,Hourly,0.0033433047762618526
crypto_score,fwd_ret_4h,-0.00043712554710422695,0.9340180514082701,-0.082791171099489,35874,-0.010448733328723052,0.0011018072207678216,True,Hourly,0.00043712554710422695
crypto_score,fwd_ret_24h,0.0018162797859732616,0.7309187539512051,0.34390632221843187,35854,-0.006518383245361166,0.0037720903644094766,True,Hourly,0.0018162797859732616
crypto_score,fwd_ret_72h,-0.005947401377767454,0.2604339270012171,-1.12538391705242,35806,-0.01032329662392965,-0.006750814159971303,False,Hourly,0.005947401377767454
crypto_score,fwd_ret_168h,-0.009728735795809572,0.06599949778576301,-1.8384834555349443,35710,-0.008825265172496283,-0.012198251617720837,False,Hourly,0.009728735795809572
market_score,fwd_ret_1h,0.0071848176264623234,0.1735571111766894,1.3608896573403177,35877,0.008447286865301029,0.005870767373560256,False,Hourly,0.0071848176264623234
market_score,fwd_ret_4h,-0.00395723705599298,0.4535591229901628,-0.7495028060848176,35874,0.002735931909670247,-0.009584038138596361,True,Hourly,0.00395723705599298
market_score,fwd_ret_24h,-0.006537435891422445,0.21577408660461347,-1.2378653816835188,35854,-0.010240069583220731,-0.003372639697338452,False,Hourly,0.006537435891422445
market_score,fwd_ret_72h,-0.0022759553690981354,0.6667210089893835,-0.4306561370068401,35806,-0.009364946236188032,0.0038191478930255517,True,Hourly,0.0022759553690981354
market_score,fwd_ret_168h,-0.00837331206289388,0.11358460563649894,-1.582323453816056,35710,-0.018222869418461306,0.0004299849757356528,True,Hourly,0.00837331206289388
uncertainty_score,fwd_ret_1h,-0.0038810613718049916,0.4622799843779838,-0.7351056082374624,35877,-0.004231646966541733,-0.0036247171888388412,False,Hourly,0.0038810613718049916
uncertainty_score,fwd_ret_4h,0.007256637397664734,0.1693148236650755,1.3744364151660695,35874,0.0061627687786855,0.007793614860184004,False,Hourly,0.007256637397664734
uncertainty_score,fwd_ret_24h,0.006384206847943898,0.22672836563745774,1.208850221074722,35854,0.014222249259058921,-0.0006759731124805218,True,Hourly,0.006384206847943898
