signal,return_horizon,IC_full,pval_full,t_stat,n_obs,IC_IS,IC_OOS,sign_flip,sample,abs_IC
post_count,fwd_ret_1d,0.0021106053565628476,0.9291542627084697,0.08892158229003909,1777,-0.020189879213413045,0.024493794543498905,True,Full Sample (Daily),0.0021106053565628476
post_count,fwd_ret_2d,0.02055750610392319,0.38671807814241554,0.8657980112621407,1775,0.01847772397386261,0.021826267147053515,False,Full Sample (Daily),0.02055750610392319
post_count,fwd_ret_3d,0.04575719674270666,0.053993004666455305,1.9281747494799786,1774,0.0338743354865647,0.056170063167807774,False,Full Sample (Daily),0.04575719674270666
post_count,fwd_ret_5d,0.03857414333950246,0.10453770470560972,1.6240757105840438,1772,0.03195264572039306,0.042839994467729854,False,Full Sample (Daily),0.03857414333950246
post_count,fwd_ret_7d,0.04357607761473348,0.06682031559451775,1.8340112421630095,1770,0.037060615552535134,0.04688923562835078,False,Full Sample (Daily),0.04357607761473348
crypto_intensity,fwd_ret_1d,-0.006081829515873915,0.797797709853059,-0.25623677094836594,1777,-0.02753549386301802,-0.0016784474951826625,False,Full Sample (Daily),0.006081829515873915
crypto_intensity,fwd_ret_2d,-0.03468799378644039,0.14405900947219935,-1.4614871182200713,1775,-0.04701815461515341,-0.039664108449684855,False,Full Sample (Daily),0.03468799378644039
crypto_intensity,fwd_ret_3d,-0.03619791157391022,0.1274986462943622,-1.5247550686367446,1774,-0.04390092889481174,-0.04107433833609535,False,Full Sample (Daily),0.03619791157391022
crypto_intensity,fwd_ret_5d,-0.05467881770455597,0.021345899531750173,-2.303859244209554,1772,-0.03195156363350203,-0.0704919092452925,False,Full Sample (Daily),0.05467881770455597
crypto_intensity,fwd_ret_7d,-0.05538514675144363,0.01979180595746947,-2.3323921289796967,1770,-0.028184915888089194,-0.0729980734855094,False,Full Sample (Daily),0.05538514675144363
market_sentiment,fwd_ret_1d,0.0362432537263006,0.1267008152040627,1.5279592939723048,1777,0.03446990793287891,0.03971888128658139,False,Full Sample (Daily),0.0362432537263006
market_sentiment,fwd_ret_2d,-0.002569658053421004,0.9138485218350116,-0.10820096570208515,1775,0.0017002130719925375,-0.007701442293221838,True,Full Sample (Daily),0.002569658053421004
market_sentiment,fwd_ret_3d,0.03005273576315585,0.20580640976612896,1.2656455033038154,1774,0.04531008694413049,0.01892805361274015,False,Full Sample (Daily),0.03005273576315585
market_sentiment,fwd_ret_5d,0.030504719450274293,0.19931951522829838,1.283972807499083,1772,0.032242567532555715,0.02805732482670709,False,Full Sample (Daily),0.030504719450274293
market_sentiment,fwd_ret_7d,0.016529985125688568,0.4870582604920459,0.695141048507526,1770,0.011741013210356956,0.019002975657305705,False,Full Sample (Daily),0.016529985125688568
uncertainty_intensity,fwd_ret_1d,-0.04831710745929646,0.04169629172133073,-2.0380162284689214,1777,-0.0200538633851027,-0.075113666378427,False,Full Sample (Daily),0.04831710745929646
uncertainty_intensity,fwd_ret_2d,-0.017116797460253384,0.4711013262576065,-0.7208427083496438,1775,0.029733076661241507,-0.05759866191186132,True,Full Sample (Daily),0.017116797460253384
uncertainty_intensity,fwd_ret_3d,-0.03026102625597761,0.20267976133820825,-1.2744254933540198,1774,-0.0014288679407314026,-0.06289232377014907,False,Full Sample (Daily),0.03026102625597761
uncertainty_intensity,fwd_ret_5d,-0.03339521000910744,0.15996904980403823,-1.405766269690696,1772,0.004740144052967727,-0.0671915517369589,True,Full Sample (Daily),0.03339521000910744
uncertainty_intensity,fwd_ret_7d,-0.021756406356113766,0.36030533836217793,-0.9150210838890098,1770,0.030497837571965336,-0.06764811918054643,True,Full Sample (Daily),0.021756406356113766
post_count_zscore,fwd_ret_1d,-0.010073990675260698,0.6738326531292422,-0.4209647222823362,1748,-0.02864024381945183,0.008781739110571412,True,Full Sample (Daily),0.010073990675260698
post_count_zscore,fwd_ret_2d,-0.014957423966382893,0.5322429641496782,-0.6247102485839464,1746,-0.009924026523992742,-0.019258931779102248,False,Full Sample (Daily),0.014957423966382893
post_count_zscore,fwd_ret_3d,0.0073506092849072524,0.7589632059855542,0.3068907266310225,1745,-0.0028270171753310208,0.01917620107582812,True,Full Sample (Daily),0.0073506092849072524
post_count_zscore,fwd_ret_5d,-0.00934695200489519,0.6965684757826683,-0.3900213401350572,1743,-0.0027266685823476955,-0.014863873483370166,False,Full Sample (Daily),0.00934695200489519
post_count_zscore,fwd_ret_7d,-0.012560580044456354,0.6004606993970439,-0.5238340781063083,1741,0.00018776638553587085,-0.028145359763964123,True,Full Sample (Daily),0.012560580044456354
engagement_zscore,fwd_ret_1d,-0.04669872998419325,0.050926362752553925,-1.953445301151849,1748,-0.07160142221482216,-0.020779338089920496,False,Full Sample (Daily),0.04669872998419325
engagement_zscore,fwd_ret_2d,-0.0250366967333104,0.29575629370059076,-1.0458910040136742,1746,-0.073711095216763,0.019136977873253826,True,Full Sample (Daily),0.0250366967333104
engagement_zscore,fwd_ret_3d,-0.013480151474591246,0.5736180133360939,-0.5628373742147835,1745,-0.08949663918876842,0.05135401596403704,True,Full Sample (Daily),0.013480151474591246
engagement_zscore,fwd_ret_5d,-0.035106835801449576,0.14289793110621102,-1.4657465155617733,1743,-0.07508367764780674,0.007544754141114159,True,Full Sample (Daily),0.035106835801449576
engagement_zscore,fwd_ret_7d,-0.022784478231913013,0.34204643241655475,-0.9503895143077055,1741,-0.04925576254802558,0.002435152702421568,True,Full Sample (Daily),0.022784478231913013
crypto_post_count,fwd_ret_1d,-0.005755867994625,0.8084184133687735,-0.2425030460849279,1777,-0.02753549386301802,-0.0007287356880738595,False,Full Sample (Daily),0.005755867994625
crypto_post_count,fwd_ret_2d,-0.03443533050925061,0.14700433678057645,-1.4508291329919194,1775,-0.04701815461515341,-0.03894137236880397,False,Full Sample (Daily),0.03443533050925061
crypto_post_count,fwd_ret_3d,-0.035832201020122176,0.13139263742666094,-1.5093304340989329,1774,-0.04390092889481174,-0.0400513184488357,False,Full Sample (Daily),0.035832201020122176
crypto_post_count,fwd_ret_5d,-0.05458832944290112,0.021562082352647824,-2.300035170739328,1772,-0.03195156363350203,-0.07024304143399479,False,Full Sample (Daily),0.05458832944290112
crypto_post_count,fwd_ret_7d,-0.05521520709259064,0.020173215642556315,-2.3252136719246934,1770,-0.028184915888089194,-0.0725046118438229,False,Full Sample (Daily),0.05521520709259064
tariff_post_count,fwd_ret_1d,-0.035799496432046836,0.13141875142521034,-1.5092270194179596,1777,-0.035498446130785836,-0.036556806652055664,False,Full Sample (Daily),0.035799496432046836
tariff_post_count,fwd_ret_2d,-0.038089397495453294,0.1086729512799765,-1.6049951974236636,1775,0.0009880212179707532,-0.05134998986148477,True,Full Sample (Daily),0.038089397495453294
tariff_post_count,fwd_ret_3d,-0.039669124459447494,0.09486025363267078,-1.6711924102286901,1774,-0.02009094459285769,-0.0478302504015398,False,Full Sample (Daily),0.039669124459447494
tariff_post_count,fwd_ret_5d,-0.05610532952697683,0.018178842129706198,-2.3641518425642762,1772,-0.05643418088889652,-0.05509124729793658,False,Full Sample (Daily),0.05610532952697683
tariff_post_count,fwd_ret_7d,-0.07562415824012327,0.0014529304721942694,-3.188945643675999,1770,-0.06804118852789337,-0.08345486969139414,False,Full Sample (Daily),0.07562415824012327
fed_post_count,fwd_ret_1d,-0.00268013741739327,0.9101094425843345,-0.1129166020066641,1777,-0.017717186095900356,0.011562238839615694,True,Full Sample (Daily),0.00268013741739327
fed_post_count,fwd_ret_2d,-0.0032358327702112235,0.8916375801041139,-0.1362519449494764,1775,-0.007154450669590835,0.002193856104123332,True,Full Sample (Daily),0.0032358327702112235
fed_post_count,fwd_ret_3d,0.003529328915218197,0.8819110458905581,0.14856848606785353,1774,-0.008251489883515175,0.0145361457876822,True,Full Sample (Daily),0.003529328915218197
fed_post_count,fwd_ret_5d,-0.00204419522547527,0.931474340414865,-0.08600226915432775,1772,-0.03720650387268688,0.027980460205937085,True,Full Sample (Daily),0.00204419522547527
fed_post_count,fwd_ret_7d,-0.004431943250183692,0.8521882505387908,-0.18635437212641726,1770,-0.04596771815359432,0.028677112809930117,True,Full Sample (Daily),0.004431943250183692
