date,total_inflow_mm,source
2025-09-18,213.07,sosovalue
2025-09-19,47.75,sosovalue
2025-09-22,-75.95,sosovalue
2025-09-23,-140.75,sosovalue
2025-09-24,-79.36,sosovalue
2025-09-25,-251.2,sosovalue
2025-09-26,-248.31,sosovalue
2025-09-29,546.96,sosovalue
2025-09-30,127.47,sosovalue
2025-10-01,80.79,sosovalue
2025-10-02,307.05,sosovalue
2025-10-03,233.55,sosovalue
2025-10-06,181.73,sosovalue
2025-10-07,420.87,sosovalue
2025-10-08,69.05,sosovalue
2025-10-09,-8.54,sosovalue
2025-10-10,-174.83,sosovalue
2025-10-13,-428.52,sosovalue
2025-10-14,236.22,sosovalue
2025-10-15,169.66,sosovalue
2025-10-16,-56.88,sosovalue
2025-10-17,-232.28,sosovalue
2025-10-20,-145.68,sosovalue
2025-10-21,141.66,sosovalue
2025-10-22,-18.77,sosovalue
2025-10-23,-127.51,sosovalue
2025-10-24,-93.6,sosovalue
2025-10-27,133.91,sosovalue
2025-10-28,246.02,sosovalue
2025-10-29,-81.44,sosovalue
2025-10-30,-184.31,sosovalue
2025-10-31,-98.2,sosovalue
2025-11-03,-135.76,sosovalue
2025-11-04,-219.37,sosovalue
2025-11-05,-118.58,sosovalue
2025-11-06,12.51,sosovalue
2025-11-07,-46.62,sosovalue
2025-11-10,0.0,sosovalue
2025-11-11,-107.18,sosovalue
2025-11-12,-183.77,sosovalue
2025-11-13,-259.72,sosovalue
2025-11-14,-177.9,sosovalue
2025-11-17,-182.8,sosovalue
2025-11-18,-74.22,sosovalue
2025-11-19,-37.35,sosovalue
2025-11-20,-261.59,sosovalue
2025-11-21,55.71,sosovalue
2025-11-24,96.67,sosovalue
2025-11-25,78.58,sosovalue
2025-11-26,60.82,sosovalue
2025-11-28,76.55,sosovalue
2025-12-01,-79.06,sosovalue
2025-12-02,-9.91,sosovalue
2025-12-03,140.16,sosovalue
2025-12-04,-41.57,sosovalue
2025-12-05,-75.21,sosovalue
2025-12-08,35.49,sosovalue
2025-12-09,177.64,sosovalue
2025-12-10,57.58,sosovalue
2025-12-11,-42.37,sosovalue
2025-12-12,-19.41,sosovalue
2025-12-15,-224.78,sosovalue
2025-12-16,-224.26,sosovalue
2025-12-17,-22.43,sosovalue
2025-12-18,-96.62,sosovalue
2025-12-19,-75.89,sosovalue
2025-12-22,84.59,sosovalue
2025-12-23,-95.53,sosovalue
2025-12-24,-52.7,sosovalue
2025-12-26,-38.7,sosovalue
2025-12-29,-9.63,sosovalue
2025-12-30,67.84,sosovalue
2025-12-31,-72.06,sosovalue
2026-01-02,174.43,sosovalue
2026-01-05,168.13,sosovalue
2026-01-06,114.74,sosovalue
2026-01-07,-98.45,sosovalue
2026-01-08,-159.17,sosovalue
2026-01-09,-93.82,sosovalue
2026-01-12,5.04,sosovalue
2026-01-13,129.99,sosovalue
2026-01-14,175.0,sosovalue
2026-01-15,164.37,sosovalue
2026-01-16,4.64,sosovalue
2026-01-20,-229.95,sosovalue
2026-01-21,-297.51,sosovalue
2026-01-22,-41.98,sosovalue
2026-01-23,-41.74,sosovalue
2026-01-26,116.99,sosovalue
2026-01-27,-63.53,sosovalue
2026-01-28,28.1,sosovalue
2026-01-29,-155.61,sosovalue
